,TC,IMPORTE,IVA,RET ISR,RET IVA,TOTAL MX,TOTAL SAT
1316,1.0,1082.0,222.2,0.0,0.0,1239.1,1333.0
1317,1.0,55.17,8.83,0.0,0.0,64.0,64.0
1318,1.0,0.0,0.0,0.0,0.0,0.0,691.0
1319,1.0,0.0,0.0,0.0,0.0,0.0,17.9
1320,1.0,559.32,89.5,0.0,0.0,648.82,648.82
1321,1.0,189.3,30.29,0.0,0.0,219.59,219.59
1322,1.0,2359.8,12.77,0.0,0.0,2372.57,2372.57
1323,1.0,0.0,519.8248013864899,0.0,0.0,0.0,0.0
1324,1.0,647.74,100.48,0.0,0.0,748.22,748.22
1325,1.0,1082.0,222.2,0.0,0.0,1239.1,1333.0
1326,1.0,86.93,13.91,0.0,0.0,100.84,100.84
1327,1.0,95.12,15.22,0.0,0.0,107.31,107.31
1328,1.0,1082.0,222.2,0.0,0.0,1239.1,1333.0
1329,1.0,1724.14,275.86,0.0,0.0,2000.0,2000.0
1330,1.0,4320.0,622.08,0.0,0.0,4942.08,4510.08
1331,1.0,1082.0,222.2,0.0,0.0,1239.1,1333.0
1332,1.0,79.26,12.68,0.0,0.0,91.94,91.94
1333,1.0,5039.65,646.2,0.0,0.0,5685.849999999999,4685.0
1334,1.0,165.58,26.5,0.0,0.0,192.08,192.08
1335,1.0,1163.8,186.21,0.0,0.0,1350.01,1350.01
1336,1.0,1637.93,262.07,0.0,0.0,1900.0,1900.0
1337,1.0,490.0,78.4,0.0,0.0,568.4,568.4
1338,1.0,0.0,519.8248013864899,0.0,0.0,0.0,0.0
1339,1.0,0.0,519.8248013864899,0.0,0.0,0.0,0.0
1340,1.0,0.0,519.8248013864899,0.0,0.0,0.0,0.0
1341,1.0,0.0,519.8248013864899,0.0,0.0,0.0,0.0
1342,1.0,0.0,519.8248013864899,0.0,0.0,0.0,0.0
1343,1.0,0.0,519.8248013864899,0.0,0.0,0.0,0.0
1344,1.0,0.01,519.8248013864899,0.0,0.0,0.01,0.0
1345,1.0,6500.0,519.8248013864899,0.0,0.0,6500.0,6500.0
1346,1.0,1200.0,192.0,0.0,0.0,1392.0,1392.0
1347,1.0,0.0,0.0,0.0,0.0,0.0,1953.95
1348,1.0,0.0,0.0,0.0,0.0,0.0,1720.91
1349,1.0,0.0,0.0,0.0,0.0,0.0,1975.1
1350,1.0,0.0,519.8248013864899,0.0,0.0,0.0,0.0
1351,1.0,965.36,149.82,0.0,0.0,1115.18,1115.18
1352,1.0,100.0,16.0,0.0,0.0,116.0,116.0
1353,1.0,261.09,41.77,0.0,0.0,302.85999999999996,302.86
1354,1.0,861.0,137.76,0.0,0.0,998.76,998.76
1355,1.0,300.0,48.0,0.0,0.0,348.0,348.0
1356,1.0,0.0,519.8248013864899,0.0,0.0,0.0,0.0
1357,1.0,3500.0,560.0,0.0,0.0,3336.55,3336.55
1358,1.0,1250.0,200.0,0.0,0.0,1450.0,1450.0
1359,1.0,180.0,28.8,0.0,0.0,202.8,202.8
1360,1.0,37.5,6.0,0.0,0.0,43.5,43.5
1361,1.0,5400.0,864.0,0.0,0.0,6264.0,6264.0
1362,1.0,291.45,46.63,0.0,0.0,338.08,338.08
1363,1.0,291.45,46.63,0.0,0.0,338.08,338.08
1364,1.0,175.0,0.0,0.0,0.0,175.0,175.0
1365,1.0,0.0,519.8248013864899,0.0,0.0,0.0,0.0
1366,1.0,0.0,519.8248013864899,0.0,0.0,0.0,0.0
1367,1.0,0.0,519.8248013864899,0.0,0.0,0.0,0.0
1368,1.0,15.64,2.5,0.0,0.0,18.14,18.14
1369,1.0,3960.0,633.6,0.0,0.0,4593.6,4593.6
1370,1.0,2940.0,470.4,0.0,0.0,3410.4,3410.4
1371,1.0,0.0,519.8248013864899,0.0,0.0,0.0,0.0
1372,1.0,0.0,519.8248013864899,0.0,0.0,0.0,0.0
1373,1.0,0.0,519.8248013864899,0.0,0.0,0.0,0.0
1374,1.0,4485.0,717.6,0.0,0.0,5202.6,5202.6
1375,1.0,3105.54,496.89,0.0,0.0,3416.1,3416.1
1376,1.0,0.0,0.0,0.0,0.0,0.0,925.95
1377,1.0,1082.0,222.2,0.0,0.0,1239.1,1333.0
1378,1.0,1082.0,222.2,0.0,0.0,1239.1,1333.0
1379,1.0,0.0,519.8248013864899,0.0,0.0,0.0,0.0
1380,1.0,1587.06,253.93,0.0,0.0,1840.99,1840.99
1381,1.0,121.9,19.5,0.0,0.0,141.4,141.4
1382,1.0,1082.0,222.2,0.0,0.0,1239.1,1333.0
1383,1.0,474.72,75.96,0.0,0.0,550.6800000000001,550.68
1384,1.0,432.83,67.17,0.0,0.0,500.0,500.0
